"Name","Value","Comment"
"S_B_OnlineBookContent4","Add your own website from where you want to download eBooks.
[4/4]","Add your own website from where you want to download eBooks.
[4/4]"
"S_B_OnlineBookTitle1","Select eBook website","Select eBook website"
"S_B_OnlineBookTitle2","Download eBook","Download eBook"
"S_B_OnlineBookTitle3","Track downloads","Track downloads"
"S_B_OnlineBookTitle4","Add eBook website","Add eBook website"
"S_B_PauseReading","Pause Reading (Space)","Pause Reading (Space)"
"S_B_StartReading","Start Reading (Space)","Start Reading (Space)"
"S_B_TutDone","Done","Done"
"S_B_TutNext","Next","Next"
"S_B_TutReaderContent1","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]"
"S_B_TutReaderContent2","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]"
"S_B_TutReaderContent3","Access the table of contents of the book from here.
[3/8]","Access the table of contents of the book from here.
[3/8]"
"S_B_TutReaderContent4","Your notes and highlights would be listed here.
[4/8]","Your notes and highlights would be listed here.
[4/8]"
"S_B_TutReaderContent5","Set bookmarks would appear here.
[5/8]","Set bookmarks would appear here.
[5/8]"
"S_B_TutReaderContent6","Search in the current chapter or the entire book.
[6/8]","Search in the current chapter or the entire book.
[6/8]"
"S_B_TutReaderContent7","You can use this to read aloud the book contents (text-to-speech).
[7/8]","You can use this to read aloud the book contents (text-to-speech).
[7/8]"
"S_B_TutReaderContent8","You can configure the page layout, style, color scheme, etc. from here.
[8/8]","You can configure the page layout, style, color scheme, etc. from here.
[8/8]"
"S_B_TutReaderTitle1","Page change","Page change"
"S_B_TutReaderTitle2","Reader context menu","Reader context menu"
"S_B_TutReaderTitle3","Table of contents","Table of contents"
"S_B_TutReaderTitle4","Notes and highlights","Notes and highlights"
"S_B_TutReaderTitle5","Bookmarks","Bookmarks"
"S_B_TutReaderTitle6","Search","Search"
"S_B_TutReaderTitle7","ReadAloud","ReadAloud"
"S_B_TutReaderTitle8","Text style","Text style"
"S_Backup","Backup","Backup"
"S_Backup_ErrMsg1","Select at-least 1 configuration","Select at-least 1 configuration"
"S_Backup_ErrMsg2","Operation failed. Plz contact support.","Operation failed. Plz contact support."
"S_BannerAds","Banner Ads","Banner Ads"
"S_BookAddedMsg","{0}: Book added successfully.","{0}: Book added successfully."
"S_BookAddStartScreen","Book added to start screen.","Book added to start screen."
"S_BookExistsMsg","{0}: Book already exists.","{0}: Book already exists."
"S_BookFont","Book's font","Book's font"
"S_BookmarkAdded","Bookmark added.","Bookmark added."
"S_BookmarkExists","Bookmark already exists.","Bookmark already exists."
"S_BookRmStartScreen","Book removed from start screen.","Book removed from start screen."
"S_BooksAdded","{0} book(s) added.","{0} book(s) added."
"S_BooksAlreadyExists","Book already exists.","Book already exists."
"S_BookSystemLimitError_Msg","Cannot add more books as the system limit has been reached. Consider removing individually added book files and use 'Add Folder' option to add books in bulk.","Cannot add more books as the system limit has been reached. Consider removing individually added book files and use 'Add Folder' option to add books in bulk."
"S_BookSystemLimitError_Title","Unable to add book(s)","Unable to add book(s)"
"S_Cancelled","Cancelled","Cancelled"
"S_Collapse","Collapse","Collapse"
"S_CollectionConstAll","All","All"
"S_CollectionConstBookmarks","Bookmarks","Bookmarks"
"S_CollectionConstHighlights","Highlights","Highlights"
"S_CollectionConstNotes","Notes","Notes"
"S_Completed","Completed","Completed"
"S_Confirmation","Confirmation","Confirmation"
"S_CTheme1","Vine Yard","Vine Yard"
"S_CTheme2","Dark Side","Dark Side"
"S_CTheme3","Fresh Berry","Fresh Berry"
"S_CTheme4","Pulpy Orange","Pulpy Orange"
"S_CTheme5","Clear sky","Clear sky"
"S_CTheme6","Flash","Flash"
"S_CTheme7","Turquoise","Turquoise"
"S_CTheme8","Green Apple","Green Apple"
"S_CThemeMsg1","Theme copied to clipboard.","Theme copied to clipboard."
"S_CThemeMsg2","Theme not selected.","Theme not selected."
"S_CurrentChapter","Current chapter","Current chapter"
"S_DateAdded.Text","Date added : ","Date added : "
"S_Description.Text","Description : ","Description : "
"S_DockLeft","Dock left","Dock left"
"S_DockRight","Dock right","Dock right"
"S_DownloadBook","Download book","Download book"
"S_DownloadBook_Msg","Do you want to download this book and add to library?","Do you want to download this book and add to library?"
"S_Downloading","Downloading","Downloading"
"S_EntireBook","Entire book","Entire book"
"S_ErrMsg1","Aquile Reader does not have permission to access the book file - {0}.
Click 'Grant Permission' and select the same book file in the file picker window.","Aquile Reader does not have permission to access the book file - {0}.
Click 'Grant Permission' and select the same book file in the file picker window."
"S_ErrMsg1_btn","Grant Permission","Grant Permission"
"S_ErrMsg2","The file you are trying to open, no longer exists.
Please check and try again.","The file you are trying to open, no longer exists.
Please check and try again."
"S_ErrMsg3","The file may be in use, locked, or you don't have sufficient permissions.","The file may be in use, locked, or you don't have sufficient permissions."
"S_ErrMsg4","Selected File is different from the original book file - {0}.","Selected File is different from the original book file - {0}."
"S_ErrMsg6","If the problem persists please contact support.","If the problem persists please contact support."
"S_ErrTitle1","Unable to access the book!","Unable to access the book!"
"S_ErrTitle2","File does not exist!","File does not exist!"
"S_ErrTitle3","Can't open file!","Can't open file!"
"S_ErrTitle4","Not the same file!","Not the same file!"
"S_ErrTitle5","Unexpected error occurred!","Unexpected error occurred!"
"S_ErrTitle6","Couldn't open file","Couldn't open file"
"S_Expand","Expand","Expand"
"S_Failed","Failed","Failed"
"S_FileCountLimitBtn1","Abort and use 'Add Folder'","Abort and use 'Add Folder'"
"S_FileCountLimitBtn2","Continue to add books","Continue to add books"
"S_FileCountLimitMsg","Adding large number of individual book files can hit system limit, thus preventing new book from being added.
Use 'Add Folder' option to add book files in bulk.","Adding large number of individual book files can hit system limit, thus preventing new book from being added.
Use 'Add Folder' option to add book files in bulk."
"S_FileCountLimitTitle","Warning!","Warning!"
"S_FileNotSaved","{0} could not be saved.","{0} could not be saved."
"S_FilePath.Text","File path : ","File path : "
"S_FileSaved","{0} was saved.","{0} was saved."
"S_Genre.Text","Genre : ","Genre : "
"S_GoPrem","Go Premium","Go Premium"
"S_HighNotes_Msg1","Selected content should not include the white spaces from header or footer. Please re-select.","Selected content should not include the white spaces from header or footer. Please re-select."
"S_HighNotesMsg1","Highlight cannot be added while search pane is open.","Highlight cannot be added while search pane is open."
"S_HighNotesMsg2","Selected text for Highlight and Note cannot overlap.","Selected text for Highlight and Note cannot overlap."
"S_HighNotesMsg3","Minimum 1 character must be selected for highlight.","Minimum 1 character must be selected for highlight."
"S_HighNotesMsg4","Maximum 4000 characters can be selected for highlight.","Maximum 4000 characters can be selected for highlight."
"S_HighNotesMsg5","Note cannot be added while search pane is open.","Note cannot be added while search pane is open."
"S_HighNotesMsg6","Selected text for Note and Highlight cannot overlap.","Selected text for Note and Highlight cannot overlap."
"S_HighNotesMsg7","Minimum 1 character must be selected for adding note.","Minimum 1 character must be selected for adding note."
"S_HighNotesMsg8","Maximum 4000 characters can be selected for adding note.","Maximum 4000 characters can be selected for adding note."
"S_HighNotesMsg9","Note text cannot be empty.","Note text cannot be empty."
"S_InterstitialAds","Interstitial Ads","Interstitial Ads"
"S_InvalidUrl","Invalid URL","Invalid URL"
"S_Language.Text","Language : ","Language : "
"S_LastRead.Text","Last read : ","Last read : "
"S_LibConstAllBooks","All Books","All Books"
"S_LibConstCompleted","Completed","Completed"
"S_LibConstDownloads","Downloads","Downloads"
"S_LibConstFav","Favourites","Favourites"
"S_LibConstNotStarted","Not Started","Not Started"
"S_LibConstReading","Reading","Reading"
"S_LineCount.Text","Line count : ","Line count : "
"S_matchesFound","{0} matches found","{0} matches found"
"S_MoreFonts","Get more fonts!!","Get more fonts!!"
"S_No","No","No"
"S_None","(None)","(None)"
"S_NotSupported","Not supported","Not supported"
"S_NotSupported_Msg","Download of files other than .epub is not supported","Download of files other than .epub is not supported"
"S_OnlineBook_CompleteAdded","Completed | Added to library","Completed | Added to library"
"S_OnlineBook_CompleteExists","Completed | Already exists","Completed | Already exists"
"S_OnlineBook_CompleteFailAdd","Completed | Failed to add to library","Completed | Failed to add to library"
"S_PercentageRead.Text","Percentage read : ","Percentage read : "
"S_Pin","Pin","Pin"
