"Name","Value","Comment"
"T_FavBooks.Text","Favourite Books","Favourite Books"
"T_FavEmptyMsg.Text","Your favourite books would appear here","Your favourite books would appear here"
"T_FontStyle.Text","Font style","Font style"
"t_For.Text","for","for"
"T_GeneralSettings.Text","General Settings","General Settings"
"T_HighEdit1.Text","Select text highlight color","Select text highlight color"
"T_HighlightColor.Text","Highlight color","Highlight color"
"T_HighNotesEmpty.Text","Find your notes and highlights here.","Find your notes and highlights here."
"T_Initializing.Text","Initializing","Initializing"
"T_Language.Text","Language","Language"
"T_LineSpace.Text","Line space","Line space"
"T_NoCollections.Text","No Collections available","No Collections available"
"T_NoDefFound.Text","No definition found","No definition found"
"T_NoMatchesFound.Text","No matches found","No matches found"
"T_NoteText.PlaceholderText","Enter note text","Enter note text"
"T_OBPlaceHolder.Text","Select the site to start downloading eBooks","Select the site to start downloading eBooks"
"T_OnlineBooksWarn1","Important Information","Important Information"
"T_OnlineBooksWarn2","We save the cookies used by websites to maintain continuity of your logins and provide better experience.","We save the cookies used by websites to maintain continuity of your logins and provide better experience."
"T_OnlineBooksWarn3","We don't recommend making purchases/payments from here, please use your regular browser for the same.","We don't recommend making purchases/payments from here, please use your regular browser for the same."
"T_OpeningBook.Text","Opening Book","Opening Book"
"T_OpenLibrary.Text","Open Library","Open Library"
"T_PageLayout.Text","Page layout","Page layout"
"T_PageTheme.Text","Page themes","Page themes"
"T_ParagraphSpace.Text","Paragraph space","Paragraph space"
"T_Personalization.Text","Personalization","Personalization"
"T_Processing.Text","Processing","Processing"
"T_RaPremMsg.Text","TTS (Text-to-Speech) audio controls which include reading speed, audio pitch and volume are only available in premium version of the app.","TTS (Text-to-Speech) audio controls which include reading speed, audio pitch and volume are only available in premium version of the app."
"T_ReaderSettings.Text","Reader Settings","Reader Settings"
"T_RecentReads.Text","Recent Reads","Recent Reads"
"T_RmSyncFolder.Text","Remove Sync Folder","Remove Sync Folder"
"T_RmSyncFolderConf.Text","Are you sure you want to remove this synced folder?","Are you sure you want to remove this synced folder?"
"T_RmSyncFolderMsg1.Text","Removing books","Removing books"
"T_SBInput.PlaceholderText","Find ...","Find ..."
"T_SearchBox.PlaceholderText","Search by title or author name ...","Search by title or author name ..."
"T_Searching.Text","Searching","Searching"
"T_SeeMore.Text","See more","See more"
"T_SelectFolder.Text","Select folder","Select folder"
"T_Settings.Text","Settings","Settings"
"T_SiteUrl.Text","Site url : ","Site url : "
"T_SomeWentWrong.Text","Something went wrong, please try again.","Something went wrong, please try again."
"T_SpeechSpeed.Text","Speech speed","Speech speed"
"T_Statistics.Text","Statistics","Statistics"
"T_Sync_AddFolder.Text","Add sync folder","Add sync folder"
"T_Sync_BookCount.Text","Book count : ","Book count : "
"T_Sync_msg1.Text","This provides an easy way to keep the Aquile Reader library and your local book collection in sync.","This provides an easy way to keep the Aquile Reader library and your local book collection in sync."
"T_Sync_msg2.Text","Aquile Reader on app start-up syncs books from 'Sync Folders' and automatically add/remove books from the app library.","Aquile Reader on app start-up syncs books from 'Sync Folders' and automatically add/remove books from the app library."
"T_Sync_SyncFolders.Text","Sync Folders","Sync Folders"
"T_TextAlignment.Text","Text alignment","Text alignment"
"T_TextSize.Text","Text size","Text size"
"T_TextSizeDecrease.Text","A-","A-"
"T_TextSizeDecrease.ToolTipService.ToolTip","Decrease (Ctrl + -)","Decrease (Ctrl + -)"
"T_TextSizeIncrease.Text","A+","A+"
"T_TextSizeIncrease.ToolTipService.ToolTip","Increase (Ctrl + +)","Increase (Ctrl + +)"
"T_Title.Text","Title : ","Title : "
"T_TocEmpty.Text","Table of contents is not available for this book.","Table of contents is not available for this book."
"T_Voice.Text","Voice","Voice"
"T_VoiceGender.Text","Voice gender","Voice gender"
"T_VoicePitch.Text","Voice pitch","Voice pitch"
"T_Volume.Text","Volume","Volume"
"T_WordSpace.Text","Word space","Word space"
"TC_B_DarkMode.Content","Dark mode","Dark mode"
"TC_B_LightMode.Content","Light mode","Light mode"
"TC_S_ErrMsg1","Theme name should be between 1-15 chars.","Theme name should be between 1-15 chars."
"TC_S_SelectAccentColor","2. Select accent color","2. Select accent color"
"TC_S_SelectBackColor","1. Select background color","1. Select background color"
"TC_S_SelectColorMode","3. Select color mode","3. Select color mode"
"TC_T_ThemeName.Text","4. Name of theme","4. Name of theme"
"TM_Author.Text","Author","Author"
"TM_FilePath.Text","File Path","File Path"
"TM_Genre.Text","Genre","Genre"
"TM_ImportTime.Text","Import time","Import time"
"TM_Language.Text","Language","Language"
"TM_LastReadTime.Text","Last read time","Last read time"
"TM_None.Text","(None)","(None)"
"TM_Publisher.Text","Publisher","Publisher"
"TM_ReadingProg.Text","Reading progress","Reading progress"
"TM_Series.Text","Series","Series"
"TM_SeriesNum.Text","Series Number","Series Number"
"TM_Title.Text","Title","Title"
"ToggleSwitch.OffContent","Disabled","Disabled"
"ToggleSwitch.OnContent","Enabled","Enabled"
"S_Previous","Previous","Previous"
